game_id,rated,created_at,speed,time_control,white_player,black_player,white_rating,black_rating,winner,opening,moves_count
S4o5Y60I,True,1768031775614,rapid,900,Larry23,Kolosa_rsa,1343.0,1097.0,white,,75
CJp4yKn0,True,1768029479993,rapid,900,Larry23,Kolosa_rsa,1602.0,1060.0,black,,26
Pw9aZEGQ,True,1768027629768,rapid,900,Larry23,Kolosa_rsa,1588.0,1063.0,white,,29
medY72Ic,True,1768027439642,rapid,900,Larry23,Kolosa_rsa,1738.0,1044.0,,,9
tjX0lk3a,True,1768024601326,rapid,900,Kolosa_rsa,Larry23,1046.0,1730.0,black,,64
cIxHVie7,True,1767656882452,blitz,60,Kolosa_rsa,Larry23,1081.0,1573.0,black,,58
IFtbUnnc,True,1767656356930,blitz,60,Larry23,Kolosa_rsa,1567.0,1082.0,white,,119
2hxQtf3Z,True,1767656213708,blitz,60,Kolosa_rsa,Larry23,1083.0,1559.0,black,,62
KSFSPppW,True,1767655949527,bullet,60,Larry23,Kolosa_rsa,1500.0,1048.0,white,,65
cbfUYYfE,False,1767655658068,blitz,300,Larry23,Kolosa_rsa,1559.0,1083.0,white,,43
MY2demUv,True,1767655231030,blitz,300,Larry23,Kolosa_rsa,1551.0,1084.0,white,,47
9ZZMoWlm,True,1767654741737,blitz,180,Kolosa_rsa,Larry23,1086.0,1541.0,black,,80
XLngW77e,True,1767654416575,blitz,180,Larry23,Kolosa_rsa,1531.0,1087.0,white,,45
HPSbBFpZ,False,1767553152592,rapid,900,Larry23,Kolosa_rsa,1730.0,1076.0,white,,25
Cu0ezCJJ,False,1767552656498,rapid,900,Kolosa_rsa,Larry23,1076.0,1730.0,black,,24
1Ka0Qik2,False,1767447396764,blitz,300,Larry23,,1531.0,,white,,83
OWQHBKGB,False,1767447157120,blitz,300,,Larry23,,1531.0,white,,55
tLVO1564,False,1767447096239,blitz,300,Larry23,,1531.0,,black,,14
dcEuv3BX,False,1767104980701,blitz,300,,Larry23,,1531.0,white,,21
E0wK0SKQ,False,1767004238925,blitz,300,Larry23,,1531.0,,white,,69
aJIDS4QL,False,1767003963296,blitz,300,,Larry23,,1531.0,black,,72
yX76ARc0,False,1766944457930,blitz,300,Larry23,,1531.0,,black,,90
tECsZ6er,False,1766943738886,blitz,300,,Larry23,,1531.0,black,,68
My2Vz1OB,False,1766938258472,blitz,300,Larry23,,1531.0,,white,,107
VBOt36ph,False,1766937815588,blitz,300,,Larry23,,1531.0,black,,76
bPFnmvHh,False,1766937328390,blitz,300,Larry23,,1531.0,,white,,59
IldjPLic,False,1766936924730,blitz,300,,Larry23,,1531.0,black,,62
LDiFKqr6,False,1766936562166,blitz,300,Larry23,,1531.0,,white,,55
Mn7cPL4i,False,1766936153812,blitz,300,,Larry23,,1531.0,black,,70
ycR0XtJQ,False,1766935701456,blitz,300,Larry23,,1531.0,,white,,67
Q1yARk3T,False,1766935647467,blitz,300,,Larry23,,1531.0,white,,17
7AE9dU0s,False,1766935209787,blitz,300,Larry23,,1531.0,,white,,117
hFhXMbgt,False,1766934858974,blitz,300,,Larry23,,1531.0,black,,88
Hyb6VfLo,False,1766583454091,blitz,300,Larry23,Kolosa_rsa,1531.0,1079.0,white,,71
eLY27Mc7,False,1766582686927,blitz,300,Kolosa_rsa,Larry23,1079.0,1531.0,black,,58
PooFDRaG,False,1766480318612,blitz,300,Kolosa_rsa,Larry23,1079.0,1531.0,black,,126
VC3zT1PF,False,1766480098623,blitz,300,Larry23,Kolosa_rsa,1531.0,1079.0,white,,49
eupoZPTk,False,1766400326607,blitz,300,,Larry23,,1531.0,black,,98
y92PoQnW,False,1766399963640,blitz,300,Larry23,,1531.0,,white,,91
dH1fpKhK,False,1766399535288,blitz,300,,Larry23,,1531.0,,,115
h39NPc89,False,1766399276557,blitz,300,Larry23,,1531.0,,white,,63
qIoIyjT5,False,1766398843366,blitz,300,,Larry23,,1531.0,white,,109
s7qCMZ49,False,1766398493246,blitz,300,Larry23,,1531.0,,white,,105
bP27IVoo,False,1766398118511,blitz,300,,Larry23,,1531.0,black,,102
2SEICtMq,False,1766387410858,blitz,300,Larry23,,1531.0,,white,,79
7EnA0ZLT,False,1766350012542,rapid,1200,Larry23,Kolosa_rsa,1730.0,1028.0,white,,81
gEkT8B9H,False,1766348776111,rapid,1200,Kolosa_rsa,Larry23,1028.0,1730.0,black,,72
SEIoPEvI,False,1765862337688,rapid,600,Larry23,Kolosa_rsa,1730.0,1028.0,white,,67
FFFB1PLl,False,1765861849591,rapid,600,Kolosa_rsa,Larry23,1028.0,1730.0,black,,56
cDKeHxr4,False,1765787597226,rapid,600,Kolosa_rsa,Larry23,1028.0,1730.0,black,,120
